Location,Latitude,Longitude,Addresses,Date Published,Media Outlet,Title ,Author ,Author's Twitter ,Form of Media,International?,Media Market,Duplicated?,Direct Interview?
MapsTooltip - Hidden - StringFilter,MapsLat - Hidden - NoFilter,MapsLong - Hidden - NoFilter,CategoryFilter,StringFilter,StringFilter,StringFilter,StringFilter,StringFilter,CSVFilter,CategoryFilter,CSVFilter,StringFilter,
Los Angeles,34.0522342,-118.2436849,,4/30/2015,The Fix,Oregon Brewers to make Beer out of Sewer Water,May Wilkerson,https://twitter.com/shutupmay ,online,No ,USA,,
"Costa Del Sol, Spain",36.524807,-5.0390536,,5/1/2015,Inquistr,Sewage Brewing: Waste-Water Beer Approved In Oregon,Anne Sewell,,online,No ,USA,had clips from AP story,
"Wausau, Wisconsin ",44.9591352,-89.6301221,,5/1/2015,Treatment Plant Operator Magazine,Craft Brewers Create Beer From Wastewater Effluent,Craig Mandli,,online,No ,USA,,"Yes, Mark Jockers"
"Washington, DC",38.9071923,-77.0368707,,5/1/2015,WE&T Magazine,"More beer, less yuck factor",LaShell Stratton-Childers,,Online ,No ,USA,,"Yes, Mark Jockers"
NA,37.3425699,-94.618808,,5/4/2015,Gnostic Bent ,Something in the Water,Scott M.,,online,No ,USA,,
"London, UK",51.5073509,-0.1277583,,5/5/2015,LF Press,Sewage brewage a unique challenge,Wayne Newton,,online ,yes,London,,
"Washington, DC",38.9071923,-77.0368707,,5/12/2015,Associations Now,The Associations Giving Wastewater a Second Life,Ernie Smith ,https://twitter.com/ErnieSmithAN ,Online ,No ,USA,referenced AP story,
"Portland, OR",45.5230622,-122.6764815,,5/14/2015,Basic Brewing,Sewage Brewage,Jim Spencer,https://twitter.com/basicbrewing ,Radio ,No ,USA,,"Yes, with CWS employee Mark Jockers, Oregon Brew Crew member Jeremie Landers"
South Africa,-30.559482,22.937506,,7/1/2015,Plumbing Africa,Turning wastewater into beer,Mike Flenniken,,online magazine,Yes,,,
"Portland, OR",45.5230622,-122.6764815,,8/28/2015,KGW Portland ,(unknown),Reggie Aqui,,television,No ,Portland ,,"Yes, Mark Jockers"
"Portland, OR",45.5230622,-122.6764815,,8/29/2015,OPB,Recycled Wastewater Provides Blank Canvas For Craft Brewers,Christina Belasco,,online,No ,Portland ,,
"Oregon, US",43.8041334,-120.5542012,,9/1/2015,Fox 12 - Oregon,Pure Water Brew Competition challenges home brewers to make beer using purified wastewater,FOX 12 Staff,,television/online,No ,Portland ,raycomgroup/worldnow,"Yes, Mark Jockers"
"Portland, OR",45.5230622,-122.6764815,,9/2/2015,Beaverton Valley Times,County wastewater turns into prize-winning - beer?,(unknown),,online,No ,Beaverton,,
"Seattle, WA",47.6062095,-122.3320708,,9/16/2015,King 5,Beer made from sewage?,Joyce Taylor,,television/online,No ,Seattle,,"Yes, Mark Jockers"
"Chicago, Il",41.8781136,-87.6297982,,9/30/2015,Fox 32 - Chicago,How beer is being made from recycled sewage water,Corey McPherrin,https://twitter.com/coreymcpherrin,television/online,No ,Chicago,,"Yes, Mark Jockers"
"New York, New York",40.7127753,-74.0059728,,10/23/2015,Business Insider,We tried beer brewed from sewage �?here’s what it tasted like,Tanya Lewis,https://twitter.com/tanyalewis314,online,No ,USA,,"Yes, Mark Jockers"
Vancouver BC,49.2827291,-123.1207375,,5/2/1015,CKNW Vancouver BC Radio,Pure Water Brew interview,John O'Dell producer,,radio,,,,Mark Jockers/Jeremie Landers
,,,,,PBS NewsHour,(in process),Nsikan Akpan,https://twitter.com/MoNscience,,,,,
